"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","absLatitude"
"Fundulus heteroclitus","demersal",NA,81,"TL",1.7,"",NA,"Delaware Bay - Kilcohook, NJ","1980 - 1983 / May - June","",TRUE,FALSE,39.599031,-75.569559,"marteinsdottir_g_1988_c1988_471.pdf",4.39444915467244,0.53062825106217,39.599031
"Fundulus heteroclitus","demersal",NA,85.9,"TL",1.93,"",NA,"Delaware Bay - Bay Point, NJ","1980 - 1983 / May - June","",TRUE,FALSE,39.298127,-75.258845,"marteinsdottir_g_1988_c1988_471.pdf",4.45318382899021,0.657520002916794,39.298127
"Fundulus heteroclitus","demersal",NA,84.5,"TL",1.97,"",NA,"Delaware Bay - Hansey Creek, NJ","1980 - 1983 / May - June","",TRUE,FALSE,39.237954,-75.094505,"marteinsdottir_g_1988_c1988_471.pdf",4.43675153436313,0.678033542749897,39.237954
"Fundulus heteroclitus","demersal",NA,84,"TL",2.04,"",NA,"Delaware Bay - Cape May, NJ","1980 - 1983 / May - June","",TRUE,FALSE,38.919793,-74.917225,"marteinsdottir_g_1988_c1988_471.pdf",4.43081679884331,0.712949807856125,38.919793
"Fundulus heteroclitus","demersal",NA,68.8,"TL",1.64,"",NA,"Chesapeake Bay-east side - Still Pond Creek, MD","1980 - 1983 / May - June","",TRUE,FALSE,39.338388,-76.141159,"marteinsdottir_g_1988_c1988_471.pdf",4.2312037449393,0.494696241836107,39.338388
"Fundulus heteroclitus","demersal",NA,89,"TL",1.91,"",NA,"Chesapeake Bay-east side - Worton Creek, MD","1980 - 1983 / May - June","",TRUE,FALSE,39.29151,-76.173869,"marteinsdottir_g_1988_c1988_471.pdf",4.48863636973214,0.647103242058538,39.29151
"Fundulus heteroclitus","demersal",NA,77,"TL",1.96,"",NA,"Chesapeake Bay-east side - Swan Point, MD","1980 - 1983 / May - June","",TRUE,FALSE,38.307116,-76.928272,"marteinsdottir_g_1988_c1988_471.pdf",4.34380542185368,0.672944473242426,38.307116
"Fundulus heteroclitus","demersal",NA,85.7,"TL",1.99,"",NA,"Chesapeake Bay-east side - Hail Creek, MD","1980 - 1983 / May - June","",TRUE,FALSE,39.011077,-76.20648,"marteinsdottir_g_1988_c1988_471.pdf",4.45085282560373,0.688134638736401,39.011077
"Fundulus heteroclitus","demersal",NA,79.6,"TL",1.99,"",NA,"Chesapeake Bay-east side - Tilghman Isl., MD","1980 - 1983 / May - June","",TRUE,FALSE,38.692989,-76.377033,"marteinsdottir_g_1988_c1988_471.pdf",4.37701409285034,0.688134638736401,38.692989
"Fundulus heteroclitus","demersal",NA,87,"TL",2.08,"",NA,"Chesapeake Bay-east side - Cristfield, MD","1980 - 1983 / May - June","",TRUE,FALSE,37.964014,-75.88113,"marteinsdottir_g_1988_c1988_471.pdf",4.46590811865458,0.732367893713227,37.964014
"Fundulus heteroclitus","demersal",NA,84,"TL",2.05,"",NA,"Chesapeake Bay-east side - Nandua Ck., VA","1980 - 1983 / May - June","",TRUE,FALSE,37.618261,-75.879179,"marteinsdottir_g_1988_c1988_471.pdf",4.43081679884331,0.717839793150317,37.618261
"Fundulus heteroclitus","demersal",NA,76.7,"TL",1.99,"",NA,"Chesapeake Bay-east side - Cape Charles, VA","1980 - 1983 / May - June","",TRUE,FALSE,37.265242,-76.02718,"marteinsdottir_g_1988_c1988_471.pdf",4.33990170837321,0.688134638736401,37.265242
"Fundulus heteroclitus","demersal",NA,80.3,"TL",1.78,"",NA,"Potomac River - Lewisetta, VA","1980 - 1983 / May - June","",TRUE,FALSE,37.99498,-76.431087,"marteinsdottir_g_1988_c1988_471.pdf",4.38576962095272,0.576613364303994,37.99498
"Fundulus heteroclitus","demersal",NA,86.7,"TL",1.99,"",NA,"Potomac River - Lewisetta, VA","1980 - 1983 / May - June","",TRUE,FALSE,37.99498,-76.431087,"marteinsdottir_g_1988_c1988_471.pdf",4.4624538837865,0.688134638736401,37.99498
"Fundulus heteroclitus","demersal",NA,95.2,"TL",1.99,"",NA,"Potomac River - Lewisetta, VA","1980 - 1983 / May - June","",TRUE,FALSE,37.99498,-76.431087,"marteinsdottir_g_1988_c1988_471.pdf",4.55597994179732,0.688134638736401,37.99498
"Fundulus heteroclitus","demersal",NA,82.5,"TL",2.05,"",NA,"Potomac River - Lewisetta, VA","1980 - 1983 / May - June","",TRUE,FALSE,37.99498,-76.431087,"marteinsdottir_g_1988_c1988_471.pdf",4.41279829334063,0.717839793150317,37.99498
"Fundulus xenicus","demersal",NA,44.2,"TL",1.815,"",NA,"Cedar Key, Florida USA","1977 December/1979 May/1979 September","16",TRUE,TRUE,29.150409,-83.026994,"cunningham_jer_1985_e14_115.pdf",3.78872478908365,0.596085467716814,29.150409
"Boreogadus saida","pelagic",NA,140,"",1.695,"",NA,"Arctic Ocean","","",TRUE,TRUE,74.056759,-156.14174,"rass_ts_1941_j1.pdf",4.9416424226093,0.527682740832414,74.056759
"Eleginus nawaga","demersal",NA,190,"",1.7,"",NA,"South Barents Sea","","",TRUE,TRUE,69.925102,48.143801,"rass_ts_1941_j1.pdf",5.24702407216049,0.53062825106217,69.925102
"Gadus morhua","pelagic",NA,1363.502,"TL",1.482,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.21781166909792,0.393392526873895,63.548692
"Gadus morhua","pelagic",NA,1262.239,"TL",1.4672,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.1406424071041,0.383355822520063,63.548692
"Gadus morhua","pelagic",NA,1252.379,"TL",1.4359,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.13280022150586,0.361791830318194,63.548692
"Gadus morhua","pelagic",NA,1272.898,"TL",1.3425,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.14905146965982,0.294533547400883,63.548692
"Gadus morhua","pelagic",NA,1223.508,"TL",1.5735,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.10947742148007,0.453302437522324,63.548692
"Gadus morhua","pelagic",NA,1222.846,"TL",1.4819,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.10893620788943,0.393325048213996,63.548692
"Gadus morhua","pelagic",NA,1211.379,"TL",1.3615,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.09951465908208,0.308587033131677,63.548692
"Gadus morhua","pelagic",NA,1183.249,"TL",1.4684,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.07601932365606,0.384173372640542,63.548692
"Gadus morhua","pelagic",NA,1172.563,"TL",1.4561,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.06694723022024,0.375761628734722,63.548692
"Gadus morhua","pelagic",NA,1153.091,"TL",1.4278,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.05020144169935,0.356134798086223,63.548692
"Gadus morhua","pelagic",NA,1162.241,"TL",1.3608,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.05810531693994,0.308072762099515,63.548692
