"Species","spawningMode","FemaleMass_g","FemaleSize_mm","Fecundity_nOfEggs_per_female","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","lnFecundity","absLatitude"
"Amblygaster sirm","pelagic",NA,214,89331,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.36597601502185,-0.798507696217772,11.4001038510808,11.514903
"Amblygaster sirm","pelagic",NA,214,91033,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.36597601502185,-0.798507696217772,11.4189773571246,11.514903
"Amblygaster sirm","pelagic",NA,219,121563,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.3890717298165,-0.798507696217772,11.708187925897,11.514903
"Amblygaster sirm","pelagic",NA,218,125372,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.38449506278909,-0.798507696217772,11.7390405967626,11.514903
"Amblygaster sirm","pelagic",NA,218,128588,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.38449506278909,-0.798507696217772,11.7643687738346,11.514903
"Amblygaster sirm","pelagic",NA,223,132160,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.40717177146012,-0.798507696217772,11.7917685887548,11.514903
"Amblygaster sirm","pelagic",NA,224,140411,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.41164605185504,-0.798507696217772,11.8523291150832,11.514903
"Ethmalosa fimbriata","pelagic",NA,211.927,15816.1,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.35624187575087,-0.867500567704723,9.66878368754164,5.085431
"Ethmalosa fimbriata","pelagic",NA,219.284,19141.6,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.39036769334585,-0.867500567704723,9.85961925607947,5.085431
"Ethmalosa fimbriata","pelagic",NA,228.106,20499.8,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.42981043319691,-0.867500567704723,9.92817040898135,5.085431
"Ethmalosa fimbriata","pelagic",NA,259.544,17461.6,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.55892624507288,-0.867500567704723,9.76775946322487,5.085431
"Ethmalosa fimbriata","pelagic",NA,251.674,23781.1,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.52813459922923,-0.867500567704723,10.0766464265341,5.085431
"Ethmalosa fimbriata","pelagic",NA,257.941,25972.4,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.55273087659932,-0.867500567704723,10.1647897147111,5.085431
"Ethmalosa fimbriata","pelagic",NA,248.135,27640.4,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.51397295289634,-0.867500567704723,10.2270337495569,5.085431
"Ethmalosa fimbriata","pelagic",NA,244.769,26393.6,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.50031490863248,-0.867500567704723,10.1808768355025,5.085431
"Ethmalosa fimbriata","pelagic",NA,234.069,28629.4,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.45561594368643,-0.867500567704723,10.2621894408345,5.085431
"Ethmalosa fimbriata","pelagic",NA,220.847,27046.1,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.39747015406981,-0.867500567704723,10.2052980964309,5.085431
"Ethmalosa fimbriata","pelagic",NA,222.802,26440.1,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.40628348467352,-0.867500567704723,10.1826370761067,5.085431
"Ethmalosa fimbriata","pelagic",NA,248.668,30741.8,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.51611867345157,-0.867500567704723,10.3333785710061,5.085431
"Ethmalosa fimbriata","pelagic",NA,253.226,31231.7,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.53428237062223,-0.867500567704723,10.3491888836339,5.085431
"Ethmalosa fimbriata","pelagic",NA,240.581,34527.2,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.48305683117879,-0.867500567704723,10.449502698188,5.085431
"Ethmalosa fimbriata","pelagic",NA,246.682,36113.4,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.50810005776028,-0.867500567704723,10.4944192665823,5.085431
"Ethmalosa fimbriata","pelagic",NA,266.274,31945.2,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.58452585380626,-0.867500567704723,10.3717772137775,5.085431
"Ethmalosa fimbriata","pelagic",NA,265.941,30810.6,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.58327447966816,-0.867500567704723,10.3356140655978,5.085431
