"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","Fecundity_nOfEggs_per_female","typeOfWork_Fecundity","timeToFecundityMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnFecundity","absLatitude"
"Hemiramphus brasiliensis","demersal",NA,195,"TL",2200,"Field",NA,"Mostly off the coast of Natal, RN, Brazil","2010 August - 2011 July","2 females",FALSE,FALSE,-5.750962,-35.088767,"oliveira_mr_2015_h6_107.pdf",5.27299955856375,7.69621263934641,5.750962
"Hemiramphus brasiliensis","demersal",NA,330,"TL",4000,"Field",NA,"Mostly off the coast of Natal, RN, Brazil","2010 August - 2011 July","2 females",FALSE,FALSE,-5.750962,-35.088767,"oliveira_mr_2015_h6_107.pdf",5.79909265446053,8.29404964010203,5.750962
"Hoplostethus atlanticus","pelagic",NA,399.52,"SL",72061,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.99026382653146,11.1852682615302,41.355563
"Hoplostethus atlanticus","pelagic",NA,401.22,"SL",71361,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.99450990529394,11.1755067806086,41.355563
"Hoplostethus atlanticus","pelagic",NA,420.59,"SL",60660,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",6.04165848742723,11.0130397812426,41.355563
"Hoplostethus atlanticus","pelagic",NA,420.36,"SL",54829,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",6.0411114869974,10.911974530041,41.355563
"Hoplostethus atlanticus","pelagic",NA,420.14,"SL",46878,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",6.04058798906753,10.7553037612248,41.355563
"Hoplostethus atlanticus","pelagic",NA,410.22,"SL",48782,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",6.01669360115376,10.7951166713394,41.355563
"Hoplostethus atlanticus","pelagic",NA,410.48,"SL",41539,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",6.01732720663371,10.6343880239579,41.355563
"Hoplostethus atlanticus","pelagic",NA,400.55,"SL",46270,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.99283860266113,10.742249081901,41.355563
"Hoplostethus atlanticus","pelagic",NA,400.8,"SL",43974,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.99346254977065,10.6913538291539,41.355563
"Hoplostethus atlanticus","pelagic",NA,400.11,"SL",28954,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.99173950930241,10.273463642714,41.355563
"Hoplostethus atlanticus","pelagic",NA,400.61,"SL",21888,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.99298838547632,9.99369382042228,41.355563
